DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
NL-Means,{},001,1,26.59625194897437,30.011752689076815,0.7403288961428285,0.5792009830474854
NL-Means,{},002,1,35.14009433274188,38.558278386172596,0.9640955934443983,0.5872910022735596
NL-Means,{},003,1,21.176211492456744,27.671693445413617,0.7202515912862171,0.5776770114898682
NL-Means,{},004,1,30.84848528418972,31.054510260443934,0.8292502935831121,0.581028938293457
NL-Means,{},005,1,27.96593008084966,31.498081741296353,0.8536114995014564,0.5920650959014893
NL-Means,{},006,1,23.868343470640863,28.043094848519857,0.6794715285842292,0.6160051822662354
NL-Means,{},007,1,24.25049735085445,31.796502365950168,0.825325642384697,0.6154131889343262
NL-Means,{},008,1,29.8705691534211,31.807570932705822,0.8424739969122272,0.6073141098022461
NL-Means,{},009,1,27.018096956021953,29.581796365854345,0.8101031316748352,0.5894029140472412
NL-Means,{},010,1,27.625003114517547,30.641187315822464,0.8209021332435602,0.5843651294708252
NL-Means,{},011,1,27.29522509547359,32.29528786917537,0.8789833555637434,0.5935928821563721
NL-Means,{},012,1,26.986782202280285,34.5517028061849,0.9079116329162408,0.5956008434295654
NL-Means,{},013,1,25.51004665243973,31.734396447459087,0.8229638105991341,0.6038548946380615
NL-Means,{},014,1,26.613968332155405,32.87774444684051,0.8857319623223053,0.587806224822998
NL-Means,{},015,1,26.58030666833075,31.491358801734407,0.8528218955416846,0.5898089408874512
NL-Means,{},016,1,27.121184800672765,29.232630160103543,0.7674103306814707,0.5822501182556152
NL-Means,{},017,1,23.257754509503854,30.171517266015524,0.7459836447470154,0.6248040199279785
NL-Means,{},018,1,20.993984086578106,30.692385871016516,0.7281807301975939,0.5871610641479492
NL-Means,{},019,1,21.778377326741566,30.205866406342942,0.7828230983725188,0.6037428379058838
NL-Means,{},020,1,22.702184289376635,29.04964425266641,0.6930345134865462,0.6162130832672119
NL-Means,{},021,1,28.16147450555946,28.223141962280906,0.731227382315355,0.6187038421630859
NL-Means,{},022,1,25.050726826988306,27.27803660390206,0.6435960207030901,0.607407808303833
NL-Means,{},023,1,22.611180226409875,27.292573938268212,0.624821103950707,0.5830409526824951
NL-Means,{},024,1,23.155037853422456,33.81974034216044,0.8411280091039427,0.5834259986877441
NL-Means,{},025,1,28.201461305496313,33.187041169037165,0.790652537412199,0.6008648872375488
NL-Means,{},026,1,24.316127938436196,32.64474699536337,0.8535800587514865,0.5944890975952148
NL-Means,{},027,1,30.725358340496626,31.64159459991554,0.8445937762114745,0.58785080909729
NL-Means,{},028,1,22.946009009029794,30.36782328045442,0.7858968512420318,0.5858120918273926
NL-Means,{},029,1,32.87491658417234,33.66833206836639,0.8711723097633322,0.5841679573059082
NL-Means,{},030,1,22.34807677927462,29.407867404722438,0.7662622143941477,0.5901849269866943
NL-Means,{},031,1,26.420051818165398,27.046023250859086,0.6068050577935917,0.5792191028594971
NL-Means,{},032,1,22.61389974151932,28.377145913330132,0.6588599978661668,0.5837748050689697
NL-Means,{},033,1,23.648992159492074,34.43462402754146,0.8813762533154418,0.6118409633636475
NL-Means,{},034,1,23.60845552532382,33.3161194881978,0.8686912145449918,0.6180622577667236
NL-Means,{},035,1,24.60983211308995,35.175777619836495,0.9049297121224449,0.6138849258422852
NL-Means,{},036,1,17.277203873285934,31.33233091959093,0.7787103755753867,0.6538219451904297
NL-Means,{},037,1,17.18310341142727,31.04109389500955,0.7749678053823486,0.587191104888916
NL-Means,{},038,1,22.023030607751018,27.960068753737705,0.7488833814426008,0.5921659469604492
NL-Means,{},039,1,28.62403371032228,28.631184494036702,0.7361481199306812,0.5868010520935059
NL-Means,{},040,1,25.309507190640876,27.460677333344172,0.638848028839912,0.5960440635681152
NL-Means,{},041,1,22.71258639410419,30.515037570699334,0.8295278483696211,0.5958573818206787
